# Raw Temperature Measurements
# Created: 2025-11-23 17:13:14
# Format: Timestamp, Temperature
2025-11-23 17:13:13, 24.28
2025-11-23 17:13:15, 24.29
2025-11-23 17:13:17, 24.20
2025-11-23 17:13:19, 24.32
2025-11-23 17:13:21, 24.22
2025-11-23 17:13:23, 24.25
2025-11-23 17:13:25, 24.26
2025-11-23 17:13:27, 24.11
2025-11-23 17:13:29, 24.22
2025-11-23 17:13:31, 24.40
2025-11-23 17:13:33, 24.37
2025-11-23 17:13:35, 24.23
2025-11-23 17:13:37, 24.26
2025-11-23 17:13:39, 24.12
2025-11-23 17:13:41, 24.15
2025-11-23 17:13:43, 24.35
2025-11-23 17:13:45, 24.22
2025-11-23 17:13:47, 24.32
2025-11-23 17:13:49, 24.27
2025-11-23 17:13:51, 24.35
2025-11-23 17:13:53, 24.29
2025-11-23 17:13:55, 24.33
2025-11-23 17:13:57, 24.19
2025-11-23 17:13:59, 24.32
2025-11-23 17:14:01, 24.36
2025-11-23 17:14:03, 24.01
2025-11-23 17:14:05, 24.26
2025-11-23 17:14:07, 24.25
2025-11-23 17:14:09, 24.23
2025-11-23 17:14:11, 24.18
2025-11-23 17:14:13, 24.39
2025-11-23 17:14:15, 24.27
2025-11-23 17:14:17, 24.19
2025-11-23 17:14:19, 24.23
2025-11-23 17:14:21, 24.31
2025-11-23 17:14:23, 24.35
2025-11-23 17:14:25, 24.15
2025-11-23 17:14:27, 24.19
2025-11-23 17:14:29, 24.24
2025-11-23 17:14:31, 24.08
2025-11-23 17:14:33, 24.20
2025-11-23 17:14:35, 24.40
2025-11-23 17:14:37, 24.15
2025-11-23 17:14:39, 24.23
2025-11-23 17:14:41, 24.28
2025-11-23 17:14:43, 24.14
2025-11-23 17:14:45, 24.42
2025-11-23 17:14:47, 24.40
2025-11-23 17:14:49, 24.10
2025-11-23 17:14:51, 24.11
2025-11-23 17:14:53, 24.19
2025-11-23 17:14:55, 24.26
2025-11-23 17:14:57, 24.16
2025-11-23 17:14:59, 24.39
2025-11-23 17:15:01, 24.11
2025-11-23 17:15:03, 24.32
2025-11-23 17:15:05, 24.21
2025-11-23 17:15:07, 24.24
2025-11-23 17:15:09, 23.97
2025-11-23 17:15:11, 24.35
2025-11-23 17:15:13, 26.52
2025-11-23 17:15:14, 26.49
2025-11-23 17:15:15, 26.53
2025-11-23 17:15:16, 26.56
2025-11-23 17:15:17, 26.49
2025-11-23 17:15:18, 26.49
2025-11-23 17:15:19, 26.34
2025-11-23 17:15:20, 26.52
2025-11-23 17:15:21, 26.50
2025-11-23 17:15:22, 26.45
2025-11-23 17:15:23, 26.57
2025-11-23 17:15:24, 26.53
2025-11-23 17:15:25, 26.51
2025-11-23 17:15:26, 26.49
2025-11-23 17:15:27, 26.47
2025-11-23 17:15:28, 26.54
2025-11-23 17:15:29, 26.44
2025-11-23 17:15:30, 26.49
2025-11-23 17:15:31, 26.56
2025-11-23 17:15:32, 26.47
2025-11-23 17:15:33, 26.54
2025-11-23 17:15:34, 26.47
2025-11-23 17:15:35, 26.54
2025-11-23 17:15:36, 26.41
2025-11-23 17:15:37, 26.59
2025-11-23 17:15:38, 26.54
2025-11-23 17:15:39, 26.47
2025-11-23 17:15:40, 26.53
2025-11-23 17:15:41, 26.55
2025-11-23 17:15:42, 26.49
